depth,sand,event index,median_age,min_age,max_age,data_site
309.5,24.1751,0,904.60,811.7,987.9,Basin Bayou2
310.5,68.0214,0,891.00,801.4,976.8,Basin Bayou2
311.5,48.6341,1,891.00,801.4,976.8,Basin Bayou2
NaN,NaN,0,878.20,NaN,NaN,Basin Bayou2
312.5,20.7597,0,877.40,779.8,970.5,Basin Bayou2
313.5,38.6503,0,863.70,758.2,964.2,Basin Bayou2
314.5,42.2414,0,863.70,758.2,964.2,Basin Bayou2
315.5,35.2007,0,863.70,758.2,964.2,Basin Bayou2
316.5,32.2214,1,863.70,758.2,964.2,Basin Bayou2
317.5,21.1283,0,850.10,749.5,948.9,Basin Bayou2
318.5,21.5335,0,836.50,740.8,933.5,Basin Bayou2
319.5,20.6972,0,836.50,740.8,933.5,Basin Bayou2
320.5,17.3149,0,836.50,740.8,933.5,Basin Bayou2
321.5,9.7248,1,836.50,740.8,933.5,Basin Bayou2
322.5,5.6992,0,822.90,724.6,924.2,Basin Bayou2
323.5,8.5815,0,809.30,708.3,914.8,Basin Bayou2
324.5,25.9034,0,809.30,708.3,914.8,Basin Bayou2
325.5,31.3998,0,809.30,708.3,914.8,Basin Bayou2
326.5,40.2368,0,809.30,708.3,914.8,Basin Bayou2
327.5,33.2201,1,809.30,708.3,914.8,Basin Bayou2
NaN,NaN,0,809.10,NaN,NaN,Basin Bayou2
328.5,22.2161,0,795.80,702.1,894.2,Basin Bayou2
NaN,NaN,0,794.00,NaN,NaN,Basin Bayou2
329.5,26.5894,0,782.20,695.8,873.6,Basin Bayou2
330.5,29.7996,0,782.20,695.8,873.6,Basin Bayou2
331.5,31.1448,1,782.20,695.8,873.6,Basin Bayou2
NaN,NaN,0,778.70,NaN,NaN,Basin Bayou2
332.5,18.1368,0,768.70,683.6,862.8,Basin Bayou2
NaN,NaN,0,764.00,NaN,NaN,Basin Bayou2
333.5,22.6382,1,755.10,671.3,852,Basin Bayou2
NaN,NaN,0,749.20,NaN,NaN,Basin Bayou2
334.5,18.4307,0,742.70,666.5,833.4,Basin Bayou2
335.5,20.3854,0,730.30,661.7,814.7,Basin Bayou2
336.5,13.4527,0,730.30,661.7,814.7,Basin Bayou2
337.5,12.9015,0,730.30,661.7,814.7,Basin Bayou2
338.5,10.8551,1,730.30,661.7,814.7,Basin Bayou2
